cesky_nazev latinsky_nazev symbol rok
aktinium	  actinium	     Ac	    1899
americium	  americium	     Am		  1944
antimon	    stibium	       Sb		  N
argon	      argonum	       Ar		  1894
arsen	      arsenicum	     As	    N
astat	      astatium	     At	    1940
baryum	    barium	       Ba	    1774
berkelium	  berkelium	     Bk	    1950
beryllium	  beryllium	     Be	    1797
bismut	    bismuthum	     Bi	    N
bohrium	    bohrium	       Bh		  1981
bor	        borum	         B	    1808
brom	      bromum	       Br		  1826
cer	        cerium	       Ce	    1803
cesium	    caesium	       Cs		  1860
cín	        stannum	       Sn	    N
curium	    curium	       Cm		  1944

